"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Trey Jemison","Lal","C","25.2","5","8.3","12.6","29.7","4","0.25","7","0.429","0","0","0.429","0.4","1.4","3.4","0.2","0.2","0.8","0.6","4.8","1.6","5","4.7","76.9","85.3"
"","Terrence Shannon Jr.","Min","G-F","24.5","11","4.2","15.9","17.6","0","0","11","0.545","3","0.333","0.536","0.536","1.4","0.2","0.5","0.2","0.1","0.3","1.5","1.8","2","4.9","99.1","114.9"
"","Colin Castleton","Mem","C","24.7","10","4.6","13.7","8.8","11","0.909","6","0.333","4","0","0.2","0.472","1.4","0.9","0","0.1","0.1","0.1","2.3","1.4","2.3","0","110.8","103.1"
"","Alex Len","Sac","C","31.6","36","7.2","9.6","21.1","13","0.538","35","0.6","6","0.167","0.549","0.557","1.4","1.8","0.8","0.2","0.5","0.3","3.2","2.3","4.1","7","122.6","103.5"
"","Jack McVeigh","Hou","G-F","28.6","6","3.6","23","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Luke Travers","Cle","F","23.4","6","6.9","10.2","21.2","2","1","4","0.75","3","0","0.429","0.508","1.3","1","0.8","0.2","0.2","0.3","2.3","2.2","3.2","5.9","108.8","109.1"
"","Sidy Cissoko","San","G","20.8","17","3.2","17.7","10","6","0.167","11","0.545","7","0.429","0.583","0.533","1.3","0.6","0.4","0.1","0","0.1","1.9","1.6","2.2","8.5","0","0"
"","Yuki Kawamura","Mem","G","23.8","19","3.3","18.3","15.2","6","0.667","6","0.667","16","0.25","0.455","0.487","1.3","0.4","0.7","0.1","0","0.2","1.6","2","2.4","8.7","0","0"
"","Adam Flagler","Okc","G","25.2","18","4.4","25.6","2.1","0","0","9","0.333","38","0.158","0.255","0.255","1.3","0.4","0","0.3","0.1","0.1","1.8","1.3","1.8","0","59.5","102.6"
"","Cam Christie","Lac","G","19.5","5","5.7","17.9","17.8","2","0.5","3","0.333","6","0.167","0.278","0.304","1.2","1.2","0.4","0.4","0","0.4","2.4","1.6","2.8","5.8","67.7","102.9"
"","Chris Livingston","Mil","F","21.3","12","4.8","15.8","27.3","6","0.667","9","0.556","4","0","0.385","0.448","1.2","1.6","0.1","0.3","0","0.4","2.8","1.3","2.8","4.8","87.1","103.8"
"","JD Davison","Bos","G","22.3","5","4.7","21.9","53.5","2","0.5","2","0.5","3","0.333","0.5","0.51","1.2","0.4","0.2","0.2","0","1.2","1.6","1.4","1.8","3.9","50.4","110.7"
"","Kessler Edwards","Dal","F","24.5","21","8.5","8.3","11.6","2","1","13","0.462","17","0.235","0.4","0.421","1.2","1.7","0.5","0.3","0.2","0.2","2.9","1.7","3.4","4.7","96.5","105.4"
"","Colby Jones","Sac","G","22.7","24","5.4","10.8","21.2","0","0","16","0.438","10","0.4","0.5","0.5","1.1","1","0.3","0.3","0.3","0.3","2","1.4","2.3","5.1","97.2","107.6"
"","PJ Hall","Den","C","23","11","2.7","15.3","10.7","4","0.75","5","0.8","3","0","0.5","0.564","1","1","0.2","0","0.1","0.1","2","1.2","2.2","8.7","0","0"
"","Jared Rhoden","Cha","G","25.4","4","2.9","32.5","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","Jaylen Martin","Bro","G","21","3","1.6","18.8","0","0","0","1","0","1","1","0.75","0.75","1","0","0","0","0","0","1","1","1","0","0","0"
"","Reece Beekman","Gol","G","23.3","2","2.1","10.2","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Baylor Scheierman","Bos","G","24.4","9","6","14.3","0","2","1","5","0.4","12","0.083","0.206","0.252","1","1.4","0.4","0.2","0","0","2.4","1.4","2.9","5.5","77.5","99.8"
"","Xavier Tillman","Bos","F","26.1","26","7.3","11.4","18.3","2","0.5","18","0.333","22","0.182","0.3","0.306","1","1.4","0.3","0.3","0.2","0.3","2.3","1.2","2.6","4.1","70.2","105.2"
"","Bronny James","Lal","G","20.3","16","4","22.1","17.1","7","0.714","14","0.214","10","0.1","0.188","0.258","0.9","0.4","0.4","0.3","0.1","0.3","1.3","1.3","1.8","5.2","61.5","107.1"
